City,Wealth Index,No of Hospitals,No of Schools,No of Banks,Cell Phone Facility,Water Resources,Agricultural Lands,Unemployed,No of Govt Officials,No of HIV Patients,Educational Levels,Transport Facilities,Highways,Air Port Facilities,Railway Facilities
Hyderabad,6,1391,36767,7534,Yes,Scarce,6404,7556,2128,879,Low,Moderate,3,Yes,Yes
Delhi,7,1875,24121,7203,No,Scarce,3279,8671,3052,800,Medium,Poor,1,Yes,Yes
Ahmedabad,10,1949,49484,6670,No,Sufficient,2764,2074,2377,832,Low,Poor,2,Yes,No
Delhi,10,1013,23314,3554,No,Sufficient,8691,8618,2425,820,High,Moderate,8,Yes,No
Jaipur,3,1156,42145,6648,Yes,Scarce,2361,5809,2672,703,Low,Moderate,1,No,Yes
Mumbai,7,1981,20294,9346,No,Sufficient,6322,7775,2150,491,Low,Moderate,2,No,Yes
Delhi,2,930,25646,5480,No,Scarce,6051,5134,3632,953,Low,Poor,2,No,Yes
Bangalore,5,1814,19485,3787,No,Sufficient,7334,2928,3274,772,Low,Good,4,No,Yes
Mumbai,5,1026,9956,5512,No,Scarce,9709,9783,3740,892,Low,Moderate,4,Yes,No
Pune,7,1724,8624,5065,No,Scarce,3657,3182,2606,714,High,Moderate,5,Yes,No
Bangalore,10,721,42887,6796,Yes,Sufficient,3108,3973,2753,348,Medium,Good,1,Yes,Yes
Ahmedabad,7,730,30900,9351,Yes,Sufficient,7727,2468,3600,512,Medium,Moderate,4,No,Yes
Mumbai,5,969,44085,5803,No,Scarce,3358,4330,2795,812,Medium,Good,1,No,Yes
Jaipur,1,796,31497,9472,Yes,Scarce,4607,3885,1144,343,Medium,Moderate,4,No,Yes
Hyderabad,1,1040,30626,4754,No,Scarce,8442,4437,4225,459,High,Poor,10,No,No
Kolkata,9,632,38760,7902,No,Scarce,1403,3614,4601,583,Medium,Moderate,3,No,Yes
Jaipur,7,599,1445,1620,Yes,Sufficient,5774,5008,2279,809,Low,Poor,6,Yes,Yes
Surat,7,415,2294,8428,No,Sufficient,1909,4387,3506,794,Low,Good,1,Yes,No
Jaipur,8,306,22181,8818,No,Scarce,2411,9691,3592,862,Low,Good,8,No,Yes
Mumbai,0,851,7858,2360,Yes,Sufficient,7042,9169,3063,120,Medium,Good,10,Yes,No
Kolkata,2,1949,29269,4070,Yes,Scarce,5701,4265,1119,134,Medium,Moderate,7,Yes,No
Jaipur,10,272,46351,1959,No,Scarce,6563,1957,3140,652,Low,Good,9,No,Yes
Delhi,9,1097,27011,2692,No,Scarce,1156,1061,2236,201,Low,Good,8,Yes,Yes
Delhi,6,895,3593,8013,No,Scarce,9394,6737,2350,456,High,Moderate,5,No,No
Chennai,5,1253,37684,7516,No,Sufficient,9024,2100,2967,590,High,Poor,6,No,No
Jaipur,4,1420,7347,1487,No,Sufficient,2455,7796,3713,127,Medium,Moderate,4,Yes,No
Pune,10,198,46273,8707,Yes,Sufficient,5316,4837,3634,709,Low,Poor,4,Yes,No
Mumbai,0,342,4756,2194,No,Scarce,1114,2829,4356,247,High,Good,1,No,Yes
Surat,0,1824,29305,2479,No,Sufficient,5021,9545,2490,150,High,Poor,10,No,No
Pune,4,430,8997,6181,Yes,Scarce,4312,2239,4988,257,Medium,Good,6,Yes,Yes
Chennai,0,720,29613,6894,Yes,Sufficient,6854,7466,2980,312,High,Good,5,No,No
Surat,10,1053,8883,6495,No,Scarce,3793,5023,2044,493,Medium,Good,8,Yes,Yes
Mumbai,2,1493,41115,6227,Yes,Scarce,7883,2101,3906,187,Medium,Moderate,4,Yes,No
Hyderabad,10,1320,1898,9349,Yes,Scarce,6682,9832,2913,344,High,Poor,4,Yes,No
Jaipur,8,1218,37639,8960,Yes,Sufficient,2259,6760,3794,171,Low,Good,2,No,Yes
Mumbai,3,414,10226,1080,Yes,Scarce,9986,9849,2916,167,High,Poor,3,No,No
Delhi,2,1116,1557,4517,No,Scarce,2724,8087,3586,199,Medium,Moderate,8,No,No
Mumbai,7,1860,37157,5776,No,Sufficient,5855,8065,1226,295,Medium,Good,10,No,No
Ahmedabad,3,100,19961,3649,No,Sufficient,1865,1644,4151,666,Low,Moderate,1,No,No
Pune,7,1013,33943,1132,Yes,Scarce,8435,6185,522,487,Medium,Moderate,6,Yes,No
Ahmedabad,7,1442,23260,3196,Yes,Scarce,5461,4849,1825,906,Medium,Moderate,3,Yes,Yes
Kolkata,9,1172,43554,6306,Yes,Scarce,5223,9987,3434,913,Medium,Good,9,Yes,Yes
Ahmedabad,6,500,33757,4131,No,Scarce,6836,7672,2426,889,Low,Good,6,No,Yes
Delhi,10,879,48810,4495,Yes,Sufficient,9236,4291,1750,588,High,Poor,3,Yes,Yes
Jaipur,10,1402,45596,8562,No,Scarce,7947,4195,4625,283,Medium,Poor,5,Yes,No
Chennai,7,966,2955,1848,No,Sufficient,5760,2999,1236,833,High,Good,2,No,No
Ahmedabad,0,1679,8935,1648,Yes,Sufficient,8616,6049,1143,643,Medium,Good,1,No,No
Surat,4,624,27494,6073,No,Scarce,5197,8304,1185,939,Medium,Moderate,10,No,Yes
Kolkata,0,1906,35248,8504,Yes,Sufficient,5838,1309,1095,542,High,Moderate,6,Yes,Yes
Bangalore,2,1267,44191,5701,No,Scarce,3280,8625,1806,649,Medium,Poor,2,No,Yes
Bangalore,10,164,18109,7549,Yes,Sufficient,9983,9723,3852,720,High,Poor,8,Yes,Yes
Mumbai,6,258,21269,8886,No,Sufficient,7400,1939,2229,170,Medium,Moderate,1,Yes,Yes
Surat,5,1235,16880,6259,No,Scarce,2758,6251,1698,302,Low,Good,7,No,No
Pune,6,1378,22277,7812,No,Scarce,1103,3426,1960,484,Low,Moderate,5,Yes,Yes
Chennai,4,1369,26048,9718,No,Scarce,3312,4249,4183,636,Low,Moderate,1,No,No
Kolkata,9,1579,42581,6314,Yes,Scarce,5169,9767,2024,842,High,Moderate,1,No,No
Hyderabad,1,1876,18567,1072,No,Sufficient,3127,4303,4464,583,High,Good,5,No,Yes
Kolkata,2,1072,48122,6837,Yes,Sufficient,1262,7967,4973,758,Medium,Moderate,8,No,Yes
Bangalore,4,1746,7753,7448,Yes,Sufficient,4802,2664,1970,892,Low,Good,10,No,No
Jaipur,7,1733,26959,4409,No,Scarce,8539,4688,569,634,High,Good,7,No,No
Pune,5,1238,14802,6276,No,Sufficient,8270,8759,1371,960,Medium,Moderate,10,Yes,No
Hyderabad,0,848,30696,2723,Yes,Sufficient,7245,3644,3180,955,High,Good,7,Yes,Yes
Chennai,9,227,17990,8312,No,Sufficient,5034,7973,3974,616,High,Poor,6,No,No
Kolkata,10,839,32060,9046,Yes,Scarce,8243,3054,4488,328,Low,Moderate,8,No,No
Hyderabad,5,1627,17349,6360,No,Scarce,1452,1087,1016,823,Medium,Poor,7,No,No
Ahmedabad,7,1761,27626,9084,Yes,Sufficient,7118,7414,2243,701,Medium,Moderate,7,Yes,No
Ahmedabad,0,898,19618,4104,Yes,Scarce,2114,2240,2949,929,High,Good,4,No,No
Surat,4,350,49623,2344,No,Sufficient,9078,7351,4432,476,Low,Poor,10,No,Yes
Delhi,8,1824,40279,1928,No,Sufficient,7346,2246,4713,840,High,Good,2,Yes,Yes
Hyderabad,4,766,26756,6774,No,Scarce,4161,7175,1117,913,High,Moderate,2,Yes,No
Hyderabad,10,626,18934,1519,No,Sufficient,8109,9533,4001,193,Medium,Good,2,Yes,No
Delhi,6,201,41131,9693,No,Sufficient,7261,2261,1613,171,High,Good,4,No,Yes
Hyderabad,1,306,9660,5862,No,Scarce,9967,4913,1635,265,Low,Poor,5,Yes,Yes
Mumbai,1,999,11600,2020,No,Sufficient,4176,9581,3488,550,Low,Good,1,No,Yes
Mumbai,6,1961,24766,5066,No,Sufficient,9362,2071,1483,656,Medium,Good,3,Yes,Yes
Delhi,6,850,8396,5233,No,Scarce,2846,6073,2248,249,Low,Moderate,10,Yes,Yes
Ahmedabad,9,346,49532,4669,No,Scarce,3937,9249,2334,563,Low,Good,3,Yes,Yes
Bangalore,5,1194,38779,7989,No,Sufficient,1971,9653,966,161,High,Poor,10,No,No
Surat,5,740,39752,1777,Yes,Scarce,7811,2789,4861,188,Low,Good,1,Yes,No
Ahmedabad,0,513,36060,4215,Yes,Sufficient,8198,6412,3666,971,Medium,Good,8,Yes,Yes
Bangalore,1,781,9687,6316,Yes,Scarce,4390,6007,3124,787,Low,Poor,5,No,No
Chennai,2,1315,26203,5603,Yes,Sufficient,5581,6380,4222,110,High,Poor,10,Yes,Yes
Ahmedabad,2,984,8294,5696,No,Scarce,7928,8533,3269,542,High,Moderate,2,No,No
Chennai,9,882,41032,3983,No,Sufficient,9838,2056,2838,830,High,Poor,1,No,Yes
Delhi,6,1521,23001,5967,Yes,Sufficient,3894,9932,3407,669,High,Poor,1,Yes,Yes
Surat,9,919,43673,9448,No,Scarce,9800,7380,3972,383,High,Poor,5,No,No
Delhi,7,1013,40617,3384,Yes,Scarce,1500,7891,3601,770,Medium,Moderate,4,Yes,No
Mumbai,5,1835,7333,1285,No,Scarce,9208,1535,1099,922,Low,Moderate,4,Yes,Yes
Delhi,1,1556,20259,2912,Yes,Scarce,2642,1482,1048,111,High,Moderate,10,Yes,No
Jaipur,1,1148,29668,7434,Yes,Sufficient,5171,9239,4850,597,Medium,Moderate,9,Yes,Yes
Bangalore,6,1272,13259,9588,No,Sufficient,5980,4985,3736,598,Low,Poor,1,No,No
Kolkata,9,453,16275,1577,Yes,Scarce,1935,4220,3646,345,High,Moderate,9,No,Yes
Mumbai,0,372,20883,6096,No,Sufficient,8937,1300,4529,321,High,Poor,2,Yes,No
Mumbai,3,389,42304,4632,Yes,Sufficient,4338,8181,3435,536,Low,Poor,5,No,Yes
Chennai,3,1097,44658,8420,Yes,Scarce,7695,2396,3065,472,Low,Moderate,10,Yes,No
Delhi,6,1738,14123,2447,No,Scarce,4024,4624,1672,351,Medium,Poor,5,No,Yes
Pune,4,1532,29904,9345,Yes,Sufficient,2940,9586,2286,491,Medium,Moderate,10,No,Yes
Bangalore,8,1281,36349,2811,No,Scarce,6547,7147,3130,973,High,Good,1,No,No
Chennai,1,505,10341,7194,Yes,Sufficient,1430,1664,4783,215,Medium,Good,5,No,Yes
Hyderabad,4,818,1242,1732,No,Scarce,8413,3916,4777,900,High,Good,6,No,Yes
Hyderabad,10,1612,39051,9422,No,Scarce,2410,1409,1514,120,High,Good,4,Yes,No
Bangalore,8,111,15190,2089,Yes,Sufficient,5781,7111,708,145,Low,Poor,1,Yes,No
Ahmedabad,7,567,21724,6856,No,Sufficient,4495,7205,3192,783,High,Good,6,Yes,No
Surat,6,1714,11924,8236,Yes,Sufficient,9949,7882,4543,845,Low,Good,2,Yes,No
Delhi,4,261,40891,7871,Yes,Scarce,2936,7589,4649,375,High,Moderate,6,Yes,Yes
Pune,0,1394,40301,2701,No,Sufficient,4189,8377,1307,741,Low,Good,2,No,No
Kolkata,9,569,15930,7692,No,Sufficient,4367,6305,3956,836,High,Good,3,No,No
Hyderabad,2,1917,11393,2869,No,Scarce,5990,1335,1212,636,Medium,Moderate,10,No,No
Hyderabad,8,1315,44936,1444,Yes,Scarce,4850,6096,4485,436,Low,Moderate,7,No,No
Bangalore,2,1644,20369,1069,Yes,Sufficient,7553,3804,4592,809,High,Poor,2,Yes,No
Ahmedabad,5,1928,27014,1137,No,Scarce,7967,6658,1619,727,High,Poor,5,Yes,No
Kolkata,5,1130,6360,6778,No,Sufficient,4204,2117,2675,727,Medium,Poor,5,No,Yes
Jaipur,6,817,21901,3569,No,Sufficient,5904,5174,3890,423,Low,Good,1,No,No
Ahmedabad,2,1898,45433,6411,Yes,Sufficient,9848,6404,4147,883,Low,Poor,6,Yes,Yes
Mumbai,0,1506,48865,4803,Yes,Sufficient,6569,3645,723,532,High,Moderate,8,Yes,No
Kolkata,9,1250,22873,8923,No,Sufficient,5699,5975,1584,138,High,Good,2,Yes,Yes
Hyderabad,3,1361,34498,8995,No,Sufficient,4219,9642,2065,593,High,Good,3,No,No
Bangalore,8,141,21994,5336,No,Scarce,1148,3248,2274,552,High,Poor,5,Yes,No
Bangalore,8,1466,1294,4761,No,Scarce,7689,9401,1688,429,Low,Moderate,7,Yes,Yes
Kolkata,4,1314,36751,8366,Yes,Sufficient,4675,9252,916,914,Medium,Moderate,7,No,No
Ahmedabad,6,1284,33493,2239,Yes,Scarce,3551,9343,971,695,High,Good,1,Yes,Yes
Kolkata,1,1015,26275,3690,Yes,Sufficient,3808,8381,2707,266,Medium,Poor,4,Yes,No
Surat,6,323,18993,5349,Yes,Sufficient,3977,4554,1993,352,Low,Poor,9,Yes,Yes
Ahmedabad,2,1469,48487,5138,Yes,Sufficient,7250,7722,3069,842,Medium,Good,3,Yes,No
Ahmedabad,10,1128,48548,1467,No,Sufficient,3824,4648,3482,750,Medium,Poor,3,No,Yes
Surat,2,1613,49822,4251,No,Sufficient,3715,1864,4486,996,Medium,Moderate,1,Yes,No
Pune,10,769,8096,6323,No,Scarce,5289,2453,2591,205,Medium,Good,5,No,Yes
Ahmedabad,5,1373,6052,6037,No,Sufficient,9154,5161,2871,877,High,Poor,9,Yes,No
Pune,0,1789,20797,2845,No,Scarce,5106,9128,4052,738,High,Moderate,7,No,No
Delhi,5,314,26185,8533,No,Scarce,3428,7297,3662,178,Medium,Poor,3,Yes,No
Surat,6,732,27012,2917,Yes,Scarce,8368,9418,3073,142,Medium,Moderate,6,Yes,No
Pune,0,1331,40080,4187,No,Sufficient,9566,3240,3697,631,High,Poor,1,Yes,Yes
Bangalore,2,534,26799,3158,Yes,Scarce,1243,5633,1836,334,High,Poor,5,Yes,No
Mumbai,7,1675,21318,2497,No,Sufficient,6813,7023,4006,603,High,Good,2,Yes,No
Mumbai,1,1155,14651,3123,Yes,Scarce,6793,7610,4006,425,Medium,Poor,10,Yes,No
Pune,9,1870,20201,3259,No,Scarce,6416,6556,979,900,Medium,Poor,6,No,No
Mumbai,3,1637,36117,9871,No,Sufficient,7147,7129,1074,695,Medium,Moderate,9,No,Yes
Surat,8,716,3396,9566,No,Scarce,5337,9983,4510,774,Medium,Moderate,4,No,Yes
Ahmedabad,8,688,30457,2261,Yes,Scarce,1305,9930,4419,686,High,Moderate,4,No,No
Hyderabad,4,1828,6478,2082,Yes,Scarce,8062,4759,3151,891,High,Poor,3,No,No
Hyderabad,2,1127,16896,7973,Yes,Sufficient,1150,4779,1806,518,High,Moderate,5,No,No
Ahmedabad,8,340,8763,7402,Yes,Scarce,1339,1606,2128,348,Low,Moderate,10,No,Yes
Jaipur,7,216,24521,1038,Yes,Sufficient,8452,5746,2974,322,Medium,Poor,3,No,No
Hyderabad,2,826,40809,7422,Yes,Sufficient,8661,1957,2313,675,High,Poor,4,No,No
Mumbai,9,389,47722,2141,No,Scarce,2895,3593,3260,178,Low,Poor,3,Yes,No
Mumbai,4,472,37624,7103,Yes,Sufficient,3225,8567,3995,300,Medium,Good,8,Yes,Yes
Ahmedabad,2,490,41378,6884,Yes,Scarce,3253,3647,2603,685,High,Moderate,9,Yes,Yes
Pune,10,1253,32450,8008,No,Sufficient,7294,2316,4279,474,High,Good,3,No,No
Delhi,1,1608,35840,9307,No,Scarce,7550,9872,1448,488,High,Moderate,6,No,Yes
Surat,5,1315,11055,7497,No,Sufficient,3787,1211,3177,829,High,Moderate,5,No,No
Ahmedabad,7,1034,45909,4286,No,Sufficient,2542,6797,2684,728,Medium,Good,1,Yes,Yes
Chennai,5,1893,40667,2340,Yes,Scarce,8936,3464,3243,546,Medium,Moderate,9,Yes,Yes
Kolkata,7,731,5174,7111,Yes,Scarce,9865,4645,4798,431,High,Good,7,Yes,Yes
Chennai,1,1888,22715,6756,No,Sufficient,6902,3037,2414,635,High,Moderate,5,No,No
Jaipur,0,1546,13879,7225,Yes,Scarce,2087,5811,2300,541,High,Moderate,4,Yes,No
Kolkata,2,137,12852,7758,No,Scarce,5041,2860,1142,713,Low,Good,4,No,Yes
Pune,7,1456,35826,6968,No,Scarce,7105,2313,1662,178,Low,Moderate,8,Yes,No
Kolkata,1,1162,49400,6325,Yes,Scarce,8727,8373,2150,552,Medium,Poor,1,No,No
Kolkata,1,290,9982,3054,No,Scarce,6348,7446,1606,679,Low,Poor,7,Yes,No
Bangalore,2,764,26372,1780,Yes,Sufficient,8882,1525,4749,130,Low,Moderate,10,Yes,No
Jaipur,7,265,7678,9381,No,Sufficient,3073,9049,3167,895,High,Poor,4,Yes,No
Pune,4,1133,34515,5605,Yes,Sufficient,1249,7507,777,205,High,Moderate,1,Yes,No
Chennai,10,1949,34990,3378,Yes,Scarce,5840,4431,4755,883,Low,Poor,3,No,No
Bangalore,4,1358,10147,1930,No,Sufficient,1492,1796,2013,201,Medium,Poor,3,No,Yes
Mumbai,6,509,21066,9782,Yes,Scarce,5674,8132,4043,838,Medium,Poor,7,Yes,Yes
Ahmedabad,9,884,17445,9454,No,Scarce,1608,8579,4746,186,Low,Moderate,2,No,No
Delhi,8,1594,16782,8046,Yes,Sufficient,2958,7876,2714,241,High,Good,3,No,No
Pune,9,906,37575,8955,Yes,Sufficient,8897,1457,3484,795,Medium,Moderate,6,No,Yes
Ahmedabad,1,1258,4334,2436,No,Scarce,1637,8058,1551,970,Low,Moderate,5,Yes,No
Surat,2,1578,48461,4036,Yes,Sufficient,5219,8943,4043,592,High,Good,8,Yes,No
Chennai,7,1836,26613,7134,No,Scarce,4718,2963,819,340,Medium,Poor,6,No,No
Surat,6,1893,17311,1532,No,Sufficient,5737,2162,3750,818,Medium,Poor,1,Yes,No
Mumbai,4,232,33842,3461,No,Scarce,1566,3550,2703,145,Medium,Poor,1,No,Yes
Hyderabad,8,1594,17015,4368,No,Scarce,7270,4228,976,831,Low,Moderate,1,No,Yes
Surat,3,800,3121,2864,Yes,Scarce,7703,6129,4559,494,High,Good,8,Yes,No
Chennai,10,382,18681,4759,No,Sufficient,5165,5100,1064,911,Low,Poor,3,Yes,Yes
Delhi,7,1512,40355,2959,No,Sufficient,5659,8633,2094,262,High,Good,9,No,No
Hyderabad,7,388,37861,6639,Yes,Sufficient,5418,2083,4090,754,Low,Poor,7,No,No
Surat,4,896,6071,4718,Yes,Sufficient,2425,1981,1461,800,Medium,Poor,9,Yes,Yes
Jaipur,5,911,21042,1455,No,Scarce,4777,8601,4237,327,High,Moderate,5,Yes,No
Surat,6,1956,38649,7444,No,Sufficient,9691,2605,3061,939,Medium,Poor,4,No,Yes
Hyderabad,1,956,45611,9541,Yes,Sufficient,8180,9915,2183,165,Medium,Poor,6,No,No
Pune,2,1351,16000,1795,Yes,Scarce,2722,1416,4659,986,Medium,Good,9,Yes,Yes
Jaipur,7,686,48719,4058,Yes,Scarce,1040,3074,2815,373,High,Moderate,4,No,No
Mumbai,4,984,31282,1851,No,Sufficient,6557,6042,4376,971,Low,Good,2,Yes,Yes
Ahmedabad,6,610,22585,4474,Yes,Sufficient,9772,3182,2969,236,Medium,Poor,7,Yes,Yes
Chennai,5,2000,3740,7323,No,Sufficient,6548,5925,1578,282,High,Moderate,5,Yes,No
Chennai,8,1302,20711,5921,No,Sufficient,2127,2830,3353,539,Low,Poor,9,No,No
Mumbai,3,637,31684,6226,Yes,Scarce,6903,9674,2384,590,Medium,Moderate,2,Yes,No
Hyderabad,1,935,16133,4272,No,Scarce,3198,7810,2180,758,High,Poor,9,Yes,No
Mumbai,6,1426,17963,4589,Yes,Scarce,7089,1020,4933,482,Low,Moderate,3,Yes,No
Chennai,2,1090,26359,7147,Yes,Scarce,3614,7453,1850,888,Low,Poor,5,No,Yes
Jaipur,9,992,38152,7337,Yes,Scarce,1354,3955,1012,940,High,Good,4,No,Yes
Surat,2,688,39118,1871,Yes,Scarce,2626,5406,3559,258,Medium,Moderate,5,Yes,No
Mumbai,7,1466,2471,4695,Yes,Sufficient,7133,3678,977,563,Medium,Good,7,Yes,Yes
Kolkata,7,1267,9147,7449,Yes,Scarce,4604,7772,1470,602,High,Poor,10,No,Yes
Bangalore,5,1494,34972,5198,Yes,Sufficient,3849,8690,4575,202,Medium,Poor,5,Yes,Yes
Bangalore,2,268,4090,6246,Yes,Scarce,3496,1228,3194,518,Low,Poor,4,No,No
Mumbai,6,1138,33530,3642,Yes,Scarce,8536,2671,1348,956,High,Moderate,4,No,Yes
Chennai,5,1374,9734,7680,Yes,Sufficient,6010,8968,4223,838,High,Poor,7,No,No
Surat,7,1641,12454,9328,Yes,Scarce,1701,8068,1375,434,Medium,Good,7,Yes,Yes
Kolkata,10,1064,11752,9476,Yes,Sufficient,4162,5595,4656,520,Low,Moderate,6,No,Yes
Hyderabad,5,1529,15677,5721,Yes,Scarce,3276,2445,2375,533,Medium,Good,10,No,No
Surat,3,259,48338,6984,Yes,Sufficient,1353,1233,4819,219,Medium,Good,2,Yes,Yes
Kolkata,0,277,33154,1317,No,Sufficient,3603,6246,4642,100,High,Moderate,1,Yes,Yes
Kolkata,3,1517,44725,6110,No,Sufficient,6273,3761,2799,611,High,Poor,6,Yes,No
Surat,6,1262,42174,5827,No,Scarce,9780,6911,2589,655,High,Moderate,7,No,Yes
Ahmedabad,9,1818,20086,5364,Yes,Scarce,1217,7256,4372,790,Medium,Good,6,Yes,No
Bangalore,4,894,16082,4381,Yes,Sufficient,3140,7261,4653,628,Low,Good,6,Yes,No
Kolkata,2,318,11240,7403,Yes,Sufficient,8318,9028,4538,511,High,Poor,7,No,No
Ahmedabad,8,306,22201,9720,No,Scarce,3434,3068,4236,712,Low,Moderate,3,Yes,No
Pune,3,1961,39219,4196,No,Scarce,7080,1492,1527,789,Low,Good,2,Yes,No
Kolkata,6,462,8124,2275,Yes,Sufficient,4609,7751,4423,569,High,Poor,4,No,Yes
Ahmedabad,4,1428,30912,1115,No,Sufficient,7851,9473,4934,560,Medium,Good,3,No,No
Kolkata,9,422,21308,1462,Yes,Scarce,7047,4855,3083,936,High,Good,8,Yes,Yes
Ahmedabad,4,780,20610,2624,No,Sufficient,4695,8019,1850,247,Low,Poor,4,No,Yes
Surat,3,839,33315,3508,Yes,Sufficient,4333,9252,747,694,High,Poor,5,Yes,No
Surat,7,546,33082,2402,No,Scarce,3477,4348,2641,379,Low,Poor,7,Yes,No
Delhi,7,523,26103,3721,No,Sufficient,3130,7843,4996,844,Low,Good,8,Yes,Yes
Delhi,4,865,11269,3515,No,Sufficient,4076,6611,4149,464,Low,Moderate,3,No,Yes
Delhi,3,1774,29641,7075,Yes,Sufficient,9932,5160,3538,940,Low,Poor,9,Yes,Yes
Kolkata,3,1123,17138,7029,No,Scarce,2866,3341,3401,574,Medium,Poor,2,Yes,No
Surat,4,159,3283,7951,No,Sufficient,3084,3378,2198,911,High,Poor,9,No,No
Pune,0,1964,4374,6870,Yes,Scarce,1499,6549,1604,683,Medium,Poor,1,No,No
Delhi,4,805,34543,9273,Yes,Scarce,5120,3200,604,568,High,Moderate,8,Yes,No
Delhi,0,920,5424,1807,Yes,Sufficient,6756,7046,1127,492,High,Poor,9,No,No
Mumbai,8,447,29708,7967,Yes,Scarce,3498,6789,1608,414,High,Good,1,No,Yes
Surat,8,1100,40025,4622,No,Scarce,2106,8047,2549,345,Medium,Moderate,1,No,No
Surat,6,1704,4106,2846,Yes,Sufficient,3267,9058,3872,372,High,Good,3,Yes,No
Hyderabad,1,201,29684,7699,No,Scarce,2235,2126,1528,973,Low,Good,7,Yes,No
Delhi,7,1089,39880,6728,Yes,Sufficient,2115,7401,4115,139,Medium,Moderate,9,Yes,No
Ahmedabad,6,1457,9789,8287,No,Scarce,3675,2343,4459,540,Low,Good,8,No,No
Pune,1,741,10542,5256,No,Sufficient,4921,5024,852,896,Medium,Good,6,Yes,No
Delhi,3,550,19074,4250,Yes,Sufficient,9468,7279,2960,371,Medium,Poor,6,No,No
Ahmedabad,10,300,14269,1484,Yes,Sufficient,8206,7589,3653,444,Medium,Moderate,8,No,No
Hyderabad,3,1584,13565,7692,Yes,Sufficient,3589,4768,4051,282,High,Moderate,5,Yes,No
Hyderabad,4,396,34932,2245,No,Sufficient,3145,5446,3376,394,Medium,Moderate,5,Yes,Yes
Kolkata,2,1724,8964,8745,No,Scarce,4894,9571,4149,800,Low,Poor,5,No,No
Mumbai,10,856,17832,2816,No,Scarce,7044,4474,3428,297,Medium,Good,8,Yes,No
Chennai,8,1143,27287,6813,Yes,Scarce,1175,6445,509,933,High,Good,2,No,No
Kolkata,0,492,28815,4315,No,Sufficient,5144,7819,1660,640,Low,Poor,4,Yes,No
Surat,4,1967,44168,5697,No,Scarce,5257,1019,787,220,High,Good,4,Yes,No
Jaipur,2,722,32499,1541,No,Sufficient,5592,7059,1180,622,Low,Good,9,Yes,No
Mumbai,3,1856,28947,3387,No,Sufficient,1248,7506,2276,848,Medium,Moderate,1,No,Yes
Kolkata,9,776,3428,9748,Yes,Scarce,8207,4190,3354,844,Medium,Poor,9,Yes,No
Pune,5,777,44991,6806,No,Sufficient,7334,5562,2884,490,High,Poor,6,Yes,No
Chennai,8,773,12629,2472,No,Scarce,3688,2377,4305,391,High,Good,4,No,Yes
Bangalore,1,145,39556,9492,No,Sufficient,1382,6983,1260,788,Low,Good,1,No,No
Ahmedabad,0,1917,10196,6184,No,Scarce,1257,8998,569,672,Low,Good,7,Yes,No
Ahmedabad,6,1867,5122,8797,No,Sufficient,2086,9875,2449,327,Low,Poor,1,No,Yes
Ahmedabad,7,1256,38249,3304,No,Scarce,9391,6204,4636,744,High,Good,10,Yes,No
Surat,1,763,21710,4920,Yes,Scarce,9387,8543,4710,396,Medium,Poor,4,No,Yes
Pune,3,228,24188,5536,No,Scarce,6436,7711,3238,140,Low,Moderate,2,No,No
Bangalore,7,628,48095,4302,Yes,Sufficient,5312,2916,1737,823,High,Moderate,6,No,Yes
Hyderabad,6,1727,1948,7503,No,Sufficient,4221,6310,2244,982,High,Poor,5,Yes,No
Chennai,9,183,4704,6965,Yes,Scarce,1334,9133,3481,390,Medium,Good,5,No,Yes
Pune,7,755,40892,1351,No,Sufficient,5416,8929,4149,997,Medium,Moderate,9,Yes,No
Chennai,8,1715,27202,6273,Yes,Scarce,5145,5227,2663,250,High,Poor,7,No,No
Ahmedabad,3,695,4964,2191,No,Scarce,1198,2644,4992,537,Medium,Moderate,3,No,Yes
Delhi,6,1715,44194,1330,Yes,Sufficient,4202,4589,2947,841,High,Poor,4,Yes,Yes
Bangalore,10,1662,4358,1954,No,Scarce,1309,3453,4016,346,Low,Good,6,Yes,Yes
Chennai,9,1399,33708,4768,Yes,Scarce,7703,4899,2726,213,High,Good,3,Yes,Yes
Mumbai,5,142,14673,7896,No,Sufficient,4382,8457,4273,464,High,Good,2,No,Yes
Kolkata,6,1000,11531,9088,Yes,Scarce,2121,9007,4331,458,Low,Moderate,9,Yes,Yes
Hyderabad,0,232,4807,4238,Yes,Sufficient,2830,2479,4963,639,High,Good,2,No,No
Kolkata,3,1444,22983,4511,No,Sufficient,5774,5227,1024,120,Low,Moderate,1,No,Yes
Pune,10,1904,47377,9336,No,Scarce,7345,1834,3677,983,Medium,Moderate,2,No,No
Chennai,10,399,35974,6998,No,Sufficient,6121,9007,4224,529,High,Poor,2,No,No
Jaipur,6,804,31544,7419,No,Sufficient,7473,2468,2841,335,Medium,Poor,6,Yes,Yes
Ahmedabad,10,1201,34357,4392,No,Sufficient,6720,9882,2228,784,High,Moderate,3,No,Yes
Chennai,4,624,24084,7524,No,Sufficient,6539,3221,2520,187,Low,Poor,6,No,No
Jaipur,8,653,28335,3712,Yes,Sufficient,3459,6418,4453,813,High,Moderate,10,Yes,Yes
Jaipur,9,244,38623,4021,Yes,Scarce,5582,5822,4209,498,High,Good,9,Yes,No
Chennai,3,1036,40455,1224,No,Sufficient,2240,5432,4962,331,Medium,Good,10,No,No
